parameter,value1
boost_from_average,True
boosting_type,dart
class_weight,
colsample_bytree,0.6000568421245674
force_col_wise,true
importance_type,split
learning_rate,0.0006885907876058295
max_bin,186
max_depth,38
metric,binary_logloss
min_child_samples,37
min_child_weight,0.001
min_split_gain,0.0
n_estimators,1590
n_jobs,-1
num_leaves,7
objective,binary
random_state,42
reg_alpha,2.4000000000000004
reg_lambda,0.1
scale_pos_weight,1.8000000000000005
silent,warn
subsample,0.4488857071819565
subsample_for_bin,225635
subsample_freq,0
verbose,1
cv,3
iterations,4
num_col,98
scoring,precision
acc_test,0.5081967213114754
acc_test1,0.65
acc_test2,0.5
acc_test3,0.38095238095238093
acc_train,0.6958762886597938
acc_val,0.4897959183673469
best_index,3.0
best_score,0.5513818930923207
f1score,0.605263157894737
f1score1,0.72
f1score2,0.5833333333333334
f1score3,0.5185185185185185
fn,3.0
fn1,0.0
fn2,2.0
fn3,1.0
fp,27.0
fp1,7.0
fp2,8.0
fp3,12.0
precision,0.46
precision1,0.5625
precision2,0.4666666666666667
precision3,0.3684210526315789
recall,0.8846153846153846
recall1,1.0
recall2,0.7777777777777778
recall3,0.875
roc,0.5565934065934066
roc1,0.6818181818181819
roc2,0.5252525252525252
roc3,0.47596153846153844
tn,8.0
tn1,4.0
tn2,3.0
tn3,1.0
tp,23.0
tp1,9.0
tp2,7.0
tp3,7.0
